,Content_ID,Reaction_Type,Datetime,Content_Type,Category,Sentiment,Score,,,,,,,,,,
23866,8fe92544-5c15-4f77-bc40-c6e4b7d13674,disgust,24-11-2020 03:53,GIF,animals,negative,0,,,,,,,,,,
23884,c61b7ef6-d7ab-41fc-aebc-dc16f256957f,disgust,28-05-2021 17:11,GIF,cooking,negative,0,,,,,,,,,,
23896,c61b7ef6-d7ab-41fc-aebc-dc16f256957f,disgust,07-07-2020 13:26,GIF,cooking,negative,0,,,,,,,,,,
23898,c61b7ef6-d7ab-41fc-aebc-dc16f256957f,disgust,02-05-2021 12:12,GIF,cooking,negative,0,,,,,,,,,,
23919,8e0f1d3e-b588-44de-a423-8224eb26aa99,disgust,20-10-2020 14:28,audio,healthy eating,negative,0,,,,,,,,,,
23938,8e0f1d3e-b588-44de-a423-8224eb26aa99,disgust,04-07-2020 06:10,audio,healthy eating,negative,0,,,,,,,,,,
23944,a1249a46-6362-4a73-a1e9-3b5d236cdd73,disgust,11-09-2020 18:13,GIF,studying,negative,0,,,,,,,,,,
23956,a1249a46-6362-4a73-a1e9-3b5d236cdd73,disgust,12-03-2021 03:38,GIF,studying,negative,0,,,,,,,,,,
23961,a1249a46-6362-4a73-a1e9-3b5d236cdd73,disgust,07-02-2021 04:03,GIF,studying,negative,0,,,,,,,,,,
23984,bc06bab7-dbf7-4d7a-81b4-9f76f2f0b87c,disgust,06-05-2021 15:45,GIF,culture,negative,0,,,,,,,,,,
24001,bc06bab7-dbf7-4d7a-81b4-9f76f2f0b87c,disgust,12-11-2020 02:26,GIF,culture,negative,0,,,,,,,,,,
24021,bc06bab7-dbf7-4d7a-81b4-9f76f2f0b87c,disgust,17-02-2021 18:42,GIF,culture,negative,0,,,,,,,,,,
24036,58b0f92a-76ae-4521-a223-2b117f4f4e70,disgust,26-08-2020 22:04,video,dogs,negative,0,,,,,,,,,,
24087,98d99f96-c8f9-4075-a3c8-f7aceb7e3bd2,disgust,04-10-2020 19:59,photo,technology,negative,0,,,,,,,,,,
24099,98d99f96-c8f9-4075-a3c8-f7aceb7e3bd2,disgust,01-07-2020 08:52,photo,technology,negative,0,,,,,,,,,,
24116,b23a874f-72fa-4abb-9ca5-941850c672bc,disgust,25-07-2020 04:12,photo,healthy eating,negative,0,,,,,,,,,,
24121,26c02731-b5d8-4ad3-99a2-5e589e107937,disgust,20-04-2021 06:23,video,studying,negative,0,,,,,,,,,,
24140,998194db-5706-4b01-9565-7c7e7d4ea5f5,disgust,11-03-2021 18:15,audio,cooking,negative,0,,,,,,,,,,
24147,998194db-5706-4b01-9565-7c7e7d4ea5f5,disgust,20-10-2020 18:38,audio,cooking,negative,0,,,,,,,,,,
24162,998194db-5706-4b01-9565-7c7e7d4ea5f5,disgust,06-03-2021 15:58,audio,cooking,negative,0,,,,,,,,,,
24172,54e29395-9eba-4945-abee-cad58cbab090,disgust,28-10-2020 23:57,video,science,negative,0,,,,,,,,,,
24179,54e29395-9eba-4945-abee-cad58cbab090,disgust,27-09-2020 03:01,video,science,negative,0,,,,,,,,,,
24223,cab37e79-0e76-4bd2-b6bd-2fc8bf66ca99,disgust,22-02-2021 23:50,photo,animals,negative,0,,,,,,,,,,
24237,c13e7406-c610-4721-b80d-2b5ad533e90a,disgust,15-04-2021 13:22,GIF,cooking,negative,0,,,,,,,,,,
24266,a973290c-989a-44d2-afb9-9b4bf16cc17f,disgust,16-04-2021 14:50,video,tennis,negative,0,,,,,,,,,,
24269,b2a20047-ac6f-4caa-90b1-fe735433e362,disgust,09-06-2021 09:31,photo,culture,negative,0,,,,,,,,,,
24286,b2a20047-ac6f-4caa-90b1-fe735433e362,disgust,30-07-2020 01:34,photo,culture,negative,0,,,,,,,,,,
24290,b2a20047-ac6f-4caa-90b1-fe735433e362,disgust,15-07-2020 12:10,photo,culture,negative,0,,,,,,,,,,
24293,b2a20047-ac6f-4caa-90b1-fe735433e362,disgust,10-12-2020 11:46,photo,culture,negative,0,,,,,,,,,,
24325,a287c7ad-f5c8-4d87-940b-b7b24e2b42ac,disgust,25-06-2020 02:22,video,fitness,negative,0,,,,,,,,,,
24333,2e32de07-dc79-4cdc-bf1d-bac90ba3fd85,disgust,13-09-2020 23:52,video,studying,negative,0,,,,,,,,,,
24364,89cb4504-fccd-40f4-945e-410f74ee4735,disgust,11-08-2020 11:16,photo,animals,negative,0,,,,,,,,,,
24373,89cb4504-fccd-40f4-945e-410f74ee4735,disgust,13-01-2021 06:18,photo,animals,negative,0,,,,,,,,,,
24393,67766c84-7d8d-46e2-b2e8-8b0f8dc27193,disgust,12-04-2021 10:10,photo,veganism,negative,0,,,,,,,,,,
24411,67766c84-7d8d-46e2-b2e8-8b0f8dc27193,disgust,30-08-2020 20:54,photo,veganism,negative,0,,,,,,,,,,
24424,331fad49-0e33-4676-8e2d-51ec52e86625,disgust,16-10-2020 20:29,audio,education,negative,0,,,,,,,,,,
24430,331fad49-0e33-4676-8e2d-51ec52e86625,disgust,21-07-2020 10:28,audio,education,negative,0,,,,,,,,,,
24453,c54b49c4-b1f2-4641-8595-1cbd19937845,disgust,07-02-2021 15:37,photo,science,negative,0,,,,,,,,,,
24460,c54b49c4-b1f2-4641-8595-1cbd19937845,disgust,12-02-2021 22:30,photo,science,negative,0,,,,,,,,,,
24466,c54b49c4-b1f2-4641-8595-1cbd19937845,disgust,02-04-2021 18:59,photo,science,negative,0,,,,,,,,,,
24482,435007a5-6261-4d8b-b0a4-55fdc189754b,disgust,24-12-2020 23:12,audio,veganism,negative,0,,,,,,,,,,
24525,4e4c9690-c013-4ee7-9e66-943d8cbd27b7,disgust,01-04-2021 23:58,GIF,culture,negative,0,,,,,,,,,,
24556,4e4c9690-c013-4ee7-9e66-943d8cbd27b7,disgust,02-06-2021 12:31,GIF,culture,negative,0,,,,,,,,,,
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,17-06-2021 12:22,photo,studying,negative,10,,,,,,,,,,
37,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,09-11-2020 02:49,photo,studying,negative,10,,,,,,,,,,
39,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,29-11-2020 21:33,photo,studying,negative,10,,,,,,,,,,
45,9f737e0a-3cdd-4d29-9d24-753f4e3be810,dislike,25-06-2020 17:01,photo,healthy eating,negative,10,,,,,,,,,,
72,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,11-05-2021 08:38,photo,healthy eating,negative,10,,,,,,,,,,
78,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,23-11-2020 22:46,photo,healthy eating,negative,10,,,,,,,,,,
80,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,23-04-2021 23:41,photo,healthy eating,negative,10,,,,,,,,,,
103,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,04-11-2020 21:25,GIF,cooking,negative,10,,,,,,,,,,
115,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,26-05-2021 06:09,GIF,cooking,negative,10,,,,,,,,,,
116,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,25-02-2021 03:16,GIF,cooking,negative,10,,,,,,,,,,
137,3f8590c7-6ab2-4973-805a-90cdec355f05,dislike,27-02-2021 00:21,video,dogs,negative,10,,,,,,,,,,
143,3f8590c7-6ab2-4973-805a-90cdec355f05,dislike,26-12-2020 19:46,video,dogs,negative,10,,,,,,,,,,
183,b18cb63f-4c8e-44ee-a47f-541e95191d11,dislike,29-03-2021 06:57,photo,public speaking,negative,10,,,,,,,,,,
207,b18cb63f-4c8e-44ee-a47f-541e95191d11,dislike,15-07-2020 16:03,photo,public speaking,negative,10,,,,,,,,,,
278,0be59876-d70c-486c-8e0b-a06bef7a2cd6,dislike,23-08-2020 07:38,GIF,tennis,negative,10,,,,,,,,,,
286,0be59876-d70c-486c-8e0b-a06bef7a2cd6,dislike,03-12-2020 08:08,GIF,tennis,negative,10,,,,,,,,,,
307,81abd65a-3b76-4574-a0a7-db6bf7184ae2,dislike,22-09-2020 04:09,video,food,negative,10,,,,,,,,,,
318,81abd65a-3b76-4574-a0a7-db6bf7184ae2,dislike,25-02-2021 04:02,video,food,negative,10,,,,,,,,,,
321,81abd65a-3b76-4574-a0a7-db6bf7184ae2,dislike,03-05-2021 23:10,video,food,negative,10,,,,,,,,,,
368,a2e93b29-9259-4092-a4d7-62d5e823bb74,dislike,02-11-2020 22:53,video,public speaking,negative,10,,,,,,,,,,
371,a2e93b29-9259-4092-a4d7-62d5e823bb74,dislike,28-07-2020 09:50,video,public speaking,negative,10,,,,,,,,,,
405,9b3a6d30-48e8-476c-82be-9031524bd04d,dislike,29-05-2021 04:16,video,food,negative,10,,,,,,,,,,
409,9b3a6d30-48e8-476c-82be-9031524bd04d,dislike,24-07-2020 18:23,video,food,negative,10,,,,,,,,,,
434,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,dislike,29-09-2020 02:49,video,tennis,negative,10,,,,,,,,,,
445,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,dislike,13-07-2020 21:02,video,tennis,negative,10,,,,,,,,,,
452,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,dislike,22-12-2020 01:07,video,tennis,negative,10,,,,,,,,,,
466,baa2db00-81ba-4c34-b17d-dd950bfa133b,dislike,29-06-2020 07:21,GIF,soccer,negative,10,,,,,,,,,,
478,baa2db00-81ba-4c34-b17d-dd950bfa133b,dislike,08-08-2020 00:29,GIF,soccer,negative,10,,,,,,,,,,
510,f98dde71-ce1d-4f6c-bb05-ae05779d2207,dislike,28-02-2021 16:15,GIF,soccer,negative,10,,,,,,,,,,
515,f98dde71-ce1d-4f6c-bb05-ae05779d2207,dislike,25-10-2020 11:15,GIF,soccer,negative,10,,,,,,,,,,
520,f98dde71-ce1d-4f6c-bb05-ae05779d2207,dislike,02-12-2020 08:56,GIF,soccer,negative,10,,,,,,,,,,
536,388bd9db-9d10-4f47-87c4-6db46e83bc95,dislike,03-10-2020 13:46,video,education,negative,10,,,,,,,,,,
545,388bd9db-9d10-4f47-87c4-6db46e83bc95,dislike,19-04-2021 05:11,video,education,negative,10,,,,,,,,,,
558,78d0075f-895c-4a15-a35c-a921e2bb2cea,dislike,27-08-2020 06:31,photo,studying,negative,10,,,,,,,,,,
618,a4067fb5-3ba8-4f97-87c2-ddad5e4029c2,dislike,06-08-2020 13:32,GIF,food,negative,10,,,,,,,,,,
625,a4067fb5-3ba8-4f97-87c2-ddad5e4029c2,dislike,03-12-2020 11:55,GIF,food,negative,10,,,,,,,,,,
649,a4067fb5-3ba8-4f97-87c2-ddad5e4029c2,dislike,27-02-2021 07:34,GIF,food,negative,10,,,,,,,,,,
702,34a3747a-0b77-42f6-ae19-87c38b94b674,dislike,13-02-2021 18:54,GIF,science,negative,10,,,,,,,,,,
717,2920dccb-e06f-49fc-8049-b6d4164dfe84,dislike,20-07-2020 16:35,GIF,veganism,negative,10,,,,,,,,,,
746,2920dccb-e06f-49fc-8049-b6d4164dfe84,dislike,12-01-2021 21:32,GIF,veganism,negative,10,,,,,,,,,,
757,f4e3840e-bb71-40c2-afc5-9408d842646d,dislike,08-05-2021 07:39,photo,healthy eating,negative,10,,,,,,,,,,
761,f4e3840e-bb71-40c2-afc5-9408d842646d,dislike,06-12-2020 18:13,photo,healthy eating,negative,10,,,,,,,,,,
778,f4e3840e-bb71-40c2-afc5-9408d842646d,dislike,23-04-2021 11:45,photo,healthy eating,negative,10,,,,,,,,,,
787,a2ff9bf2-1fa6-4001-9566-f597f8e754ef,dislike,09-09-2020 07:25,video,food,negative,10,,,,,,,,,,
800,a2ff9bf2-1fa6-4001-9566-f597f8e754ef,dislike,02-10-2020 21:47,video,food,negative,10,,,,,,,,,,
808,74718bbf-e5a3-442f-8ca2-4a3428757fc1,dislike,12-09-2020 15:36,video,dogs,negative,10,,,,,,,,,,
844,02fa1c4f-722d-46d2-a85e-e5b136b5f3bc,dislike,22-10-2020 09:15,video,cooking,negative,10,,,,,,,,,,
854,02fa1c4f-722d-46d2-a85e-e5b136b5f3bc,dislike,11-12-2020 09:58,video,cooking,negative,10,,,,,,,,,,
857,02fa1c4f-722d-46d2-a85e-e5b136b5f3bc,dislike,03-02-2021 08:07,video,cooking,negative,10,,,,,,,,,,
859,02fa1c4f-722d-46d2-a85e-e5b136b5f3bc,dislike,10-10-2020 22:18,video,cooking,negative,10,,,,,,,,,,
872,eec5e521-4c28-4e8a-93a9-d544803fad7e,dislike,22-06-2020 05:26,audio,food,negative,10,,,,,,,,,,
890,eec5e521-4c28-4e8a-93a9-d544803fad7e,dislike,22-07-2020 20:32,audio,food,negative,10,,,,,,,,,,
936,49367a0f-1fd5-4417-a7c9-4a154e1ae0ad,dislike,18-03-2021 18:58,photo,technology,negative,10,,,,,,,,,,
958,457301ee-3e87-40d8-8b82-ea4e1fa90e39,dislike,21-09-2020 17:07,GIF,healthy eating,negative,10,,,,,,,,,,
983,457301ee-3e87-40d8-8b82-ea4e1fa90e39,dislike,05-04-2021 06:47,GIF,healthy eating,negative,10,,,,,,,,,,
988,4fa14453-7b29-4302-b51f-9aa23b472c1b,dislike,13-04-2021 04:44,audio,animals,negative,10,,,,,,,,,,
997,4fa14453-7b29-4302-b51f-9aa23b472c1b,dislike,07-12-2020 07:49,audio,animals,negative,10,,,,,,,,,,
998,4fa14453-7b29-4302-b51f-9aa23b472c1b,dislike,03-05-2021 02:36,audio,animals,negative,10,,,,,,,,,,
1010,4fa14453-7b29-4302-b51f-9aa23b472c1b,dislike,19-10-2020 19:31,audio,animals,negative,10,,,,,,,,,,
1020,ab4c4756-1c50-4136-bad9-3216e01ffac2,dislike,21-03-2021 16:43,audio,fitness,negative,10,,,,,,,,,,
1040,4478d98e-43e8-4dc0-884d-c1115aa8b970,dislike,20-09-2020 07:23,audio,animals,negative,10,,,,,,,,,,
1071,34f73132-fff6-4f01-a5ec-4b4b66461fc7,dislike,22-03-2021 08:07,photo,fitness,negative,10,,,,,,,,,,
1110,220d9dc1-f8a5-422d-b200-3819f3b89b2b,dislike,28-01-2021 22:41,video,dogs,negative,10,,,,,,,,,,
1131,220d9dc1-f8a5-422d-b200-3819f3b89b2b,dislike,23-02-2021 07:48,video,dogs,negative,10,,,,,,,,,,
1138,220d9dc1-f8a5-422d-b200-3819f3b89b2b,dislike,22-09-2020 04:59,video,dogs,negative,10,,,,,,,,,,
1164,ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,dislike,09-10-2020 12:12,GIF,healthy eating,negative,10,,,,,,,,,,
1236,14ed7f7b-2c96-4458-8a39-606c25c14180,dislike,20-09-2020 19:56,video,tennis,negative,10,,,,,,,,,,
1243,c01fa154-5348-4040-9d20-0bbf01f6349b,dislike,23-10-2020 20:46,GIF,tennis,negative,10,,,,,,,,,,
1267,c01fa154-5348-4040-9d20-0bbf01f6349b,dislike,14-05-2021 23:08,GIF,tennis,negative,10,,,,,,,,,,
1268,c01fa154-5348-4040-9d20-0bbf01f6349b,dislike,17-03-2021 12:08,GIF,tennis,negative,10,,,,,,,,,,
1276,c01fa154-5348-4040-9d20-0bbf01f6349b,dislike,16-05-2021 02:42,GIF,tennis,negative,10,,,,,,,,,,
1281,2d949603-6676-4402-900b-2c2c78315ea0,dislike,15-11-2020 03:29,audio,culture,negative,10,,,,,,,,,,
1297,50c9237a-541c-4f10-a2be-7cbe076b2012,dislike,03-12-2020 22:11,GIF,travel,negative,10,,,,,,,,,,
1298,50c9237a-541c-4f10-a2be-7cbe076b2012,dislike,08-04-2021 11:32,GIF,travel,negative,10,,,,,,,,,,
1310,50c9237a-541c-4f10-a2be-7cbe076b2012,dislike,20-04-2021 01:25,GIF,travel,negative,10,,,,,,,,,,
1338,5ecd7f9d-4184-4836-b1c5-f03e131ba0a7,dislike,02-08-2020 00:38,video,science,negative,10,,,,,,,,,,
1371,e442899c-d2d6-4392-be2d-a0b916ae47fb,dislike,19-02-2021 04:09,video,technology,negative,10,,,,,,,,,,
1381,e442899c-d2d6-4392-be2d-a0b916ae47fb,dislike,26-01-2021 00:55,video,technology,negative,10,,,,,,,,,,
1390,daab7b1a-fc8d-473e-bbf3-b29f4185ae56,dislike,24-05-2021 06:00,video,science,negative,10,,,,,,,,,,
1394,daab7b1a-fc8d-473e-bbf3-b29f4185ae56,dislike,16-01-2021 12:04,video,science,negative,10,,,,,,,,,,
1398,daab7b1a-fc8d-473e-bbf3-b29f4185ae56,dislike,26-11-2020 03:30,video,science,negative,10,,,,,,,,,,
1411,82145a60-013e-4d96-81a5-399af8618158,dislike,19-06-2020 10:53,audio,food,negative,10,,,,,,,,,,
1423,82145a60-013e-4d96-81a5-399af8618158,dislike,09-12-2020 05:44,audio,food,negative,10,,,,,,,,,,
1431,82145a60-013e-4d96-81a5-399af8618158,dislike,19-08-2020 16:56,audio,food,negative,10,,,,,,,,,,
1432,82145a60-013e-4d96-81a5-399af8618158,dislike,12-08-2020 03:07,audio,food,negative,10,,,,,,,,,,
1450,78713905-362f-4a87-9671-adab5f1e0e67,dislike,02-11-2020 14:17,audio,dogs,negative,10,,,,,,,,,,
1452,78713905-362f-4a87-9671-adab5f1e0e67,dislike,19-11-2020 02:52,audio,dogs,negative,10,,,,,,,,,,
1474,87349e5b-eda4-4ae6-94d7-c42b9c5f03e9,dislike,08-11-2020 06:30,GIF,healthy eating,negative,10,,,,,,,,,,
1477,87349e5b-eda4-4ae6-94d7-c42b9c5f03e9,dislike,11-03-2021 01:33,GIF,healthy eating,negative,10,,,,,,,,,,
1500,87349e5b-eda4-4ae6-94d7-c42b9c5f03e9,dislike,12-05-2021 10:32,GIF,healthy eating,negative,10,,,,,,,,,,
1509,5fbbdd47-e1ca-4cd4-bb24-dd0eb03f99b0,dislike,07-05-2021 10:48,video,culture,negative,10,,,,,,,,,,
1536,5fbbdd47-e1ca-4cd4-bb24-dd0eb03f99b0,dislike,19-07-2020 16:25,video,culture,negative,10,,,,,,,,,,
1571,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,dislike,04-02-2021 22:17,GIF,soccer,negative,10,,,,,,,,,,
1604,026973ef-4b73-4901-9160-bc9e04516057,dislike,30-04-2021 03:32,audio,culture,negative,10,,,,,,,,,,
1612,026973ef-4b73-4901-9160-bc9e04516057,dislike,04-04-2021 10:31,audio,culture,negative,10,,,,,,,,,,
1659,f08bdab2-b888-484e-8fd9-919e6ed86c12,dislike,14-06-2021 14:19,audio,education,negative,10,,,,,,,,,,
1691,258bb775-3c35-4eec-90f3-8b75a52e466a,dislike,03-11-2020 21:49,photo,education,negative,10,,,,,,,,,,
1715,8d32243c-2dd1-4128-bde1-d643207e582c,dislike,24-08-2020 17:02,photo,studying,negative,10,,,,,,,,,,
1725,8d32243c-2dd1-4128-bde1-d643207e582c,dislike,17-10-2020 11:51,photo,studying,negative,10,,,,,,,,,,
1726,8d32243c-2dd1-4128-bde1-d643207e582c,dislike,11-08-2020 01:24,photo,studying,negative,10,,,,,,,,,,
1737,8d32243c-2dd1-4128-bde1-d643207e582c,dislike,19-07-2020 03:53,photo,studying,negative,10,,,,,,,,,,
1743,8d32243c-2dd1-4128-bde1-d643207e582c,dislike,21-02-2021 17:55,photo,studying,negative,10,,,,,,,,,,
1794,e2c433d2-096e-484e-8c69-28f0bb69f3b7,dislike,26-07-2020 17:00,audio,science,negative,10,,,,,,,,,,
1811,3d8fffab-6107-4d7b-9485-c610e233c91c,dislike,28-06-2020 04:43,photo,studying,negative,10,,,,,,,,,,
1820,3d8fffab-6107-4d7b-9485-c610e233c91c,dislike,30-11-2020 20:34,photo,studying,negative,10,,,,,,,,,,
1829,3d8fffab-6107-4d7b-9485-c610e233c91c,dislike,05-06-2021 00:37,photo,studying,negative,10,,,,,,,,,,
1834,409aa11d-5af3-4a70-9da1-482857f5835e,dislike,01-06-2021 09:25,GIF,fitness,negative,10,,,,,,,,,,
1839,409aa11d-5af3-4a70-9da1-482857f5835e,dislike,22-09-2020 04:36,GIF,fitness,negative,10,,,,,,,,,,
1876,eaddee3e-3a23-47cd-9785-ab7f2120a293,dislike,10-10-2020 14:23,video,science,negative,10,,,,,,,,,,
1914,9ef39aa2-60f9-4e4b-b666-c6cb97015503,dislike,28-03-2021 14:36,GIF,travel,negative,10,,,,,,,,,,
1932,9ef39aa2-60f9-4e4b-b666-c6cb97015503,dislike,04-11-2020 07:40,GIF,travel,negative,10,,,,,,,,,,
1933,9ef39aa2-60f9-4e4b-b666-c6cb97015503,dislike,09-06-2021 13:25,GIF,travel,negative,10,,,,,,,,,,
1973,3724de8a-ec2f-4021-a3f1-605d551da9d0,dislike,04-02-2021 15:25,video,culture,negative,10,,,,,,,,,,
1977,3724de8a-ec2f-4021-a3f1-605d551da9d0,dislike,30-11-2020 20:01,video,culture,negative,10,,,,,,,,,,
1990,3724de8a-ec2f-4021-a3f1-605d551da9d0,dislike,06-10-2020 00:15,video,culture,negative,10,,,,,,,,,,
1996,3724de8a-ec2f-4021-a3f1-605d551da9d0,dislike,28-11-2020 21:32,video,culture,negative,10,,,,,,,,,,
2015,2d0926be-9a29-4e6c-b342-815c70172214,dislike,15-09-2020 22:46,GIF,animals,negative,10,,,,,,,,,,
2022,2d0926be-9a29-4e6c-b342-815c70172214,dislike,02-10-2020 00:17,GIF,animals,negative,10,,,,,,,,,,
2032,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,dislike,13-05-2021 06:25,photo,science,negative,10,,,,,,,,,,
2064,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,dislike,09-05-2021 13:01,photo,science,negative,10,,,,,,,,,,
2092,359b93ea-446f-4202-8801-db238de5de4d,dislike,09-02-2021 12:04,photo,food,negative,10,,,,,,,,,,
2119,359b93ea-446f-4202-8801-db238de5de4d,dislike,20-02-2021 20:29,photo,food,negative,10,,,,,,,,,,
2130,0adb9a94-210a-4e84-bca1-13db9452ff0e,dislike,27-10-2020 23:14,video,healthy eating,negative,10,,,,,,,,,,
2143,0adb9a94-210a-4e84-bca1-13db9452ff0e,dislike,08-10-2020 17:53,video,healthy eating,negative,10,,,,,,,,,,
2154,3c510b35-43e2-4e84-a805-86c5ebddc4cf,dislike,27-12-2020 08:43,audio,studying,negative,10,,,,,,,,,,
2181,86346263-02db-4020-a216-9e54f502f643,dislike,09-10-2020 04:30,GIF,travel,negative,10,,,,,,,,,,
2188,86346263-02db-4020-a216-9e54f502f643,dislike,05-07-2020 05:42,GIF,travel,negative,10,,,,,,,,,,
2190,86346263-02db-4020-a216-9e54f502f643,dislike,24-07-2020 18:38,GIF,travel,negative,10,,,,,,,,,,
2207,86346263-02db-4020-a216-9e54f502f643,dislike,29-12-2020 22:06,GIF,travel,negative,10,,,,,,,,,,
2217,3dfdcf9c-aaa4-41ea-9a7c-b3ba09103467,dislike,23-08-2020 12:58,GIF,fitness,negative,10,,,,,,,,,,
2268,45dbce0a-dbd8-4c4d-a492-4f5b84850d5c,dislike,27-09-2020 17:31,video,dogs,negative,10,,,,,,,,,,
2269,45dbce0a-dbd8-4c4d-a492-4f5b84850d5c,dislike,18-11-2020 10:54,video,dogs,negative,10,,,,,,,,,,
2270,45dbce0a-dbd8-4c4d-a492-4f5b84850d5c,dislike,21-01-2021 04:09,video,dogs,negative,10,,,,,,,,,,
2285,c4f59a1e-3198-4968-b062-9e9fcc41403f,dislike,10-12-2020 12:27,GIF,veganism,negative,10,,,,,,,,,,
2288,9d94f180-947c-40f5-aa05-f1958759b7fc,dislike,13-08-2020 10:11,video,science,negative,10,,,,,,,,,,
2298,9d94f180-947c-40f5-aa05-f1958759b7fc,dislike,05-06-2021 21:46,video,science,negative,10,,,,,,,,,,
2338,497da46d-d5d5-45b0-827a-f2b75d7bf4c2,dislike,18-04-2021 23:51,photo,culture,negative,10,,,,,,,,,,
2376,da527dd0-4b7d-40a2-9fc6-89ef7c91fd87,dislike,19-04-2021 12:36,GIF,culture,negative,10,,,,,,,,,,
2381,fada6910-2cc5-4600-808c-1e6066f795a6,dislike,02-05-2021 20:50,GIF,technology,negative,10,,,,,,,,,,
2388,fada6910-2cc5-4600-808c-1e6066f795a6,dislike,18-12-2020 21:02,GIF,technology,negative,10,,,,,,,,,,
2430,1de2f0f9-61ab-43fb-9180-6870824c63c0,dislike,10-08-2020 21:05,GIF,science,negative,10,,,,,,,,,,
2431,1de2f0f9-61ab-43fb-9180-6870824c63c0,dislike,14-10-2020 22:36,GIF,science,negative,10,,,,,,,,,,
2466,c2d6e707-f00e-4fa4-a193-eb36272f58df,dislike,24-08-2020 02:54,GIF,veganism,negative,10,,,,,,,,,,
2491,af7971aa-5fd5-41d3-b6c3-583704a705a2,dislike,30-07-2020 01:58,video,healthy eating,negative,10,,,,,,,,,,
2502,af7971aa-5fd5-41d3-b6c3-583704a705a2,dislike,07-04-2021 05:57,video,healthy eating,negative,10,,,,,,,,,,
2531,5d8dbd6f-cc78-4f7a-a65c-cd9dde481dd0,dislike,26-07-2020 23:54,video,healthy eating,negative,10,,,,,,,,,,
2582,cd568dd1-70cf-45d6-b495-10eebff8c920,dislike,19-02-2021 06:07,photo,dogs,negative,10,,,,,,,,,,
2622,cd568dd1-70cf-45d6-b495-10eebff8c920,dislike,03-02-2021 16:00,photo,dogs,negative,10,,,,,,,,,,
2630,72822fb8-8a40-4cf1-a86a-42140b3bf9f3,dislike,09-05-2021 07:11,photo,travel,negative,10,,,,,,,,,,
2641,72822fb8-8a40-4cf1-a86a-42140b3bf9f3,dislike,19-04-2021 10:03,photo,travel,negative,10,,,,,,,,,,
2645,72822fb8-8a40-4cf1-a86a-42140b3bf9f3,dislike,24-09-2020 14:14,photo,travel,negative,10,,,,,,,,,,
2659,ef99fd68-74fb-4c72-bc70-742ebca14499,dislike,02-01-2021 03:49,video,soccer,negative,10,,,,,,,,,,
2679,ef99fd68-74fb-4c72-bc70-742ebca14499,dislike,07-05-2021 22:06,video,soccer,negative,10,,,,,,,,,,
2689,ef99fd68-74fb-4c72-bc70-742ebca14499,dislike,11-06-2021 02:51,video,soccer,negative,10,,,,,,,,,,
2695,d147ab3c-4097-4eec-b4dc-480e4ece801b,dislike,26-07-2020 12:15,audio,culture,negative,10,,,,,,,,,,
2712,ec8e2d25-5730-4753-a0a2-d1ed41e23623,dislike,24-05-2021 23:39,video,healthy eating,negative,10,,,,,,,,,,
2713,ec8e2d25-5730-4753-a0a2-d1ed41e23623,dislike,05-12-2020 19:25,video,healthy eating,negative,10,,,,,,,,,,
2731,ec8e2d25-5730-4753-a0a2-d1ed41e23623,dislike,25-08-2020 10:08,video,healthy eating,negative,10,,,,,,,,,,
2732,ec8e2d25-5730-4753-a0a2-d1ed41e23623,dislike,08-11-2020 06:51,video,healthy eating,negative,10,,,,,,,,,,
2746,67f2a150-6086-4cbd-8d21-46250ccef5a2,dislike,16-02-2021 07:12,GIF,cooking,negative,10,,,,,,,,,,
2765,67f2a150-6086-4cbd-8d21-46250ccef5a2,dislike,12-11-2020 20:14,GIF,cooking,negative,10,,,,,,,,,,
2807,65545cfb-59bb-4dc1-a38b-82f268210da2,dislike,24-04-2021 04:14,audio,technology,negative,10,,,,,,,,,,
2813,65545cfb-59bb-4dc1-a38b-82f268210da2,dislike,17-10-2020 21:17,audio,technology,negative,10,,,,,,,,,,
2836,433607b3-eeb4-48b8-9263-9805c1b89d55,dislike,01-08-2020 07:15,video,education,negative,10,,,,,,,,,,
2842,433607b3-eeb4-48b8-9263-9805c1b89d55,dislike,27-02-2021 21:17,video,education,negative,10,,,,,,,,,,
2865,1000371f-7758-4c44-a1bc-41fd836b0bcb,dislike,10-01-2021 17:47,audio,studying,negative,10,,,,,,,,,,
2871,1000371f-7758-4c44-a1bc-41fd836b0bcb,dislike,26-10-2020 11:17,audio,studying,negative,10,,,,,,,,,,
